2024-05-25:12,Overcast clouds
2024-05-25:06,Overcast clouds
2024-05-25:00,Overcast clouds
2024-05-24:18,Overcast clouds
2024-05-24:12,Broken clouds
2024-05-24:06,Overcast clouds
2024-05-24:00,Overcast clouds
2024-05-23:18,Few clouds
2024-05-23:12,Scattered clouds
2024-05-23:06,Scattered clouds
2024-05-23:00,Haze
2024-05-22:18,Scattered clouds
2024-05-22:12,Scattered clouds
2024-05-22:06,Scattered clouds
2024-05-22:00,Few clouds
2024-05-21:18,Fog
2024-05-21:12,Scattered clouds
2024-05-21:06,Broken clouds
2024-05-21:00,Haze
2024-05-20:18,Scattered clouds
2024-05-20:12,Scattered clouds
2024-05-20:06,Scattered clouds
2024-05-20:00,Scattered clouds
2024-05-19:18,Scattered clouds
2024-05-19:12,Scattered clouds
2024-05-19:06,Scattered clouds
2024-05-19:00,Few clouds
2024-05-18:18,Scattered clouds
2024-05-18:12,Scattered clouds
2024-05-18:06,Light rain
2024-05-18:00,Few clouds
2024-05-17:18,Scattered clouds
2024-05-17:12,Scattered clouds
2024-05-17:06,Scattered clouds
2024-05-17:00,Haze
2024-05-16:18,Scattered clouds
2024-05-16:12,Scattered clouds
2024-05-16:06,Scattered clouds
2024-05-16:00,Haze
2024-05-15:18,Scattered clouds
2024-05-15:12,Scattered clouds
2024-05-15:06,Scattered clouds
2024-05-15:00,Few clouds
2024-05-14:18,Scattered clouds
2024-05-14:12,Broken clouds
2024-05-14:06,Light rain
2024-05-14:00,Scattered clouds
2024-05-13:18,Scattered clouds
2024-05-13:12,Scattered clouds
2024-05-13:06,Moderate rain
2024-05-13:00,Few clouds
2024-05-12:18,Few clouds
2024-05-12:12,Scattered clouds
2024-05-12:06,Light rain
2024-05-12:00,Few clouds
2024-05-11:18,Scattered clouds
2024-05-11:12,Light rain
2024-05-11:06,Light rain
2024-05-11:00,Scattered clouds
2024-05-10:18,Scattered clouds
2024-05-10:12,Scattered clouds
2024-05-10:06,Scattered clouds
2024-05-10:00,Haze
2024-05-09:18,Scattered clouds
2024-05-09:12,Scattered clouds
2024-05-09:06,Scattered clouds
2024-05-09:00,Haze
2024-05-08:18,Haze
2024-05-08:12,Scattered clouds
2024-05-08:06,Scattered clouds
2024-05-08:00,Scattered clouds
2024-05-07:18,Scattered clouds
2024-05-07:12,Scattered clouds
2024-05-07:06,Few clouds
2024-05-07:00,Broken clouds
2024-05-06:18,Scattered clouds
2024-05-06:12,Scattered clouds
2024-05-06:06,Scattered clouds
2024-05-06:00,Scattered clouds
2024-05-05:18,Scattered clouds
2024-05-05:12,Scattered clouds
2024-05-05:06,Scattered clouds
2024-05-05:00,Few clouds
2024-05-04:18,Scattered clouds
2024-05-04:12,Scattered clouds
2024-05-04:06,Scattered clouds
2024-05-04:00,Scattered clouds
2024-05-03:18,Scattered clouds
2024-05-03:12,Few clouds
2024-05-03:06,Scattered clouds
2024-05-03:00,Scattered clouds
2024-05-02:18,Scattered clouds
2024-05-02:12,Scattered clouds
2024-05-02:06,Light rain
2024-05-02:00,Haze
2024-05-01:18,Haze
2024-05-01:12,Broken clouds
2024-05-01:06,Light rain
2024-05-01:00,Scattered clouds
2024-04-30:18,Scattered clouds
2024-04-30:12,Few clouds
2024-04-30:06,Broken clouds
2024-04-30:00,Scattered clouds
2024-04-29:18,Scattered clouds
2024-04-29:12,Scattered clouds
2024-04-29:06,Scattered clouds
2024-04-29:00,Scattered clouds
2024-04-28:18,Scattered clouds
2024-04-28:12,Light rain
2024-04-28:06,Light rain
2024-04-28:00,Scattered clouds
2024-04-27:18,Few clouds
2024-04-27:12,Few clouds
2024-04-27:06,Light rain
2024-04-27:00,Scattered clouds
2024-04-26:18,Scattered clouds
2024-04-26:12,Light rain
2024-04-26:06,Heavy rain
2024-04-26:00,Haze
